code,country,year,start,event_name,crisis_category,hazard_type,displaced
USA,United States,2022,2022-01-18,USA: Wildfire (Rolling Pines Fire) - Texas (Bastrop County) - 18/01/2022	,Weather related,Wildfire,650
AFG,Afghanistan,2022,2022-04-05,Afghanistan: Storm - Badakhshan (Fayzabad) - 05/04/2022,Weather related,Storm,300
ZWE,Zimbabwe,2022,2022-01-10,Zimbabwe: Floods - Midlands (Gweru; Beitbridge) - 10/01/2022,Weather related,Flood,170
IDN,Indonesia,2022,2022-01-07,Indonesia: Riverine flood - Papua (Jayapura) - 07/01/2022,Weather related,Flood,290
PAK,Pakistan,2022,2022-01-03,Pakistan: Flash Flood - Balochistan (Makran / Gwadar / 4 Tehsils) - 03/01/2022,Weather related,Flood,3400
IRN,"Iran, Islamic Rep.",2022,2022-01-01,Iran: Floods - 20 Provinces - 01/01/2022,Weather related,Flood,19000
LVA,Latvia,2022,2022-01-14,"Latvia: Storm - Jelgava, Ādaži - 14/01/2022",Weather related,Storm,27
ISL,Iceland,2022,2022-02-08,Iceland: Avalanche - Westfjords (Patreksfjörður) - 08/02/2022,Weather related,Mass Movement,28
USA,United States,2022,2022-01-16,USA: Tornado - Florida (Lee and Charlotte Counties) - 16/01/2022,Weather related,Storm,350
CAF,Central African Republic,2022,2022-03-01,CAR: Heavy Rains & Strong Winds - Ouham - March 2022,Weather related,Storm,880
IDN,Indonesia,2022,2022-01-31,Indonesia: Tornado - South Sumatra (Musi Rawas Utara) - 31/01/2022,Weather related,Storm,12
MYS,Malaysia,2022,2022-02-07,Malaysia: Flood - Sabah - 07/02/2022,Weather related,Flood,640
IDN,Indonesia,2022,2022-02-07,Indonesia: Tornado - Central Java (Grobogan) - 07/02/2022,Weather related,Storm,4
CAF,Central African Republic,2022,2022-03-01,CAR: Heavy Rains & Strong Winds -  Nana-Gribizi - March 2022,Weather related,Storm,1200
IDN,Indonesia,2022,2022-01-18,Indonesia: Flood - Jakarta (West Jakarta City) - 18/01/2022,Weather related,Flood,1200
IDN,Indonesia,2022,2022-01-23,Indonesia: Tornado - Central Java (Batang) - 23/01/2022,Weather related,Storm,19
